date,temperature_2m_max,temperature_2m_min,rain_sum,snowfall_sum
2004-12-31 21:00:00+00:00,10.563,7.363,3.5,0.0
2005-01-01 21:00:00+00:00,7.813,4.713,2.8000002,0.0
2005-01-02 21:00:00+00:00,8.613,2.263,0.1,0.0
2005-01-03 21:00:00+00:00,6.763,2.463,6.7000003,0.0
2005-01-04 21:00:00+00:00,9.662999,4.363,0.1,0.0
2005-01-05 21:00:00+00:00,10.662999,6.713,0.0,0.0
2005-01-06 21:00:00+00:00,8.763,6.213,2.8999999,0.0
2005-01-07 21:00:00+00:00,9.212999,5.013,0.0,0.0
2005-01-08 21:00:00+00:00,9.763,3.013,0.0,0.0
2005-01-09 21:00:00+00:00,11.563,6.113,0.0,0.0
2005-01-10 21:00:00+00:00,9.662999,2.813,0.0,0.0
2005-01-11 21:00:00+00:00,9.563,2.863,0.0,0.0
2005-01-12 21:00:00+00:00,8.863,4.463,0.0,0.0
2005-01-13 21:00:00+00:00,8.863,4.263,1.2,0.0
2005-01-14 21:00:00+00:00,6.313,5.163,11.900001,0.0
2005-01-15 21:00:00+00:00,6.463,5.163,12.8,0.0
2005-01-16 21:00:00+00:00,7.513,6.363,7.499999,0.0
2005-01-17 21:00:00+00:00,7.863,6.563,0.70000005,0.0
2005-01-18 21:00:00+00:00,9.162999,4.513,0.0,0.0
2005-01-19 21:00:00+00:00,10.813,5.063,0.0,0.0
2005-01-20 21:00:00+00:00,12.313,6.113,0.0,0.0
2005-01-21 21:00:00+00:00,10.662999,4.713,9.8,0.0
2005-01-22 21:00:00+00:00,6.513,3.313,0.1,0.0
2005-01-23 21:00:00+00:00,6.713,1.213,0.2,0.0
2005-01-24 21:00:00+00:00,12.462999,5.713,0.90000004,0.0
2005-01-25 21:00:00+00:00,14.363,10.613,0.0,0.0
2005-01-26 21:00:00+00:00,12.013,9.412999,16.1,0.0
2005-01-27 21:00:00+00:00,11.613,8.263,9.299999,0.0
2005-01-28 21:00:00+00:00,11.263,8.263,28.800001,0.0
2005-01-29 21:00:00+00:00,9.263,0.763,10.200002,0.48999998
2005-01-30 21:00:00+00:00,1.913,-0.13700001,0.0,0.28
2005-01-31 21:00:00+00:00,4.963,-0.037,0.0,0.0
2005-02-01 21:00:00+00:00,5.213,3.463,3.4,0.0
2005-02-02 21:00:00+00:00,7.563,3.813,13.299999,0.0
2005-02-03 21:00:00+00:00,7.863,2.413,14.6,0.14
2005-02-04 21:00:00+00:00,4.463,1.813,10.2,0.42
2005-02-05 21:00:00+00:00,1.713,0.013,1.5000002,5.25
2005-02-06 21:00:00+00:00,2.463,0.41300002,3.6,7.5600004
2005-02-07 21:00:00+00:00,3.363,1.013,1.3000002,0.14
2005-02-08 21:00:00+00:00,3.563,0.61300004,1.4000001,0.91
2005-02-09 21:00:00+00:00,3.813,0.663,0.0,0.0
2005-02-10 21:00:00+00:00,3.213,-0.087,0.0,0.49
2005-02-11 21:00:00+00:00,4.213,-1.687,0.0,0.0
2005-02-12 21:00:00+00:00,10.412999,3.113,0.3,0.0
2005-02-13 21:00:00+00:00,13.162999,9.513,0.3,0.0
2005-02-14 21:00:00+00:00,14.613,8.863,1.7,0.0
2005-02-15 21:00:00+00:00,12.063,7.463,5.3999996,0.0
2005-02-16 21:00:00+00:00,11.662999,7.463,2.1,0.0
2005-02-17 21:00:00+00:00,8.363,5.213,8.0,0.0
