Movie_ID,Avg_Rating,Watch_Count,Min_Date,Max_Date,Date_Diff
1,3.749542961608775,547,2004-01-23,2005-12-30,707
2,3.5586206896551724,145,2004-10-16,2005-12-20,430
3,3.6411530815109345,2012,2003-02-11,2005-12-30,1053
4,2.73943661971831,142,2003-12-06,2005-12-27,752
5,3.9192982456140353,1140,2004-11-02,2005-12-29,422
6,3.084396467124632,1019,2003-09-17,2005-12-29,834
7,2.129032258064516,93,2000-09-09,2005-12-22,1930
8,3.1898054996646548,14910,2004-09-13,2005-12-31,474
9,2.6210526315789475,95,2004-08-20,2005-12-13,480
10,3.180722891566265,249,2002-11-23,2005-12-21,1124
11,3.0303030303030303,198,2003-05-25,2005-12-23,943
12,3.4175824175824174,546,2000-01-14,2005-12-31,2178
13,4.552,125,2005-03-11,2005-12-13,277
14,3.0254237288135593,118,2003-11-11,2005-12-19,769
15,3.286206896551724,290,2000-01-13,2005-12-22,2170
16,3.0985550203779177,2699,2000-01-07,2005-12-31,2185
17,2.90320765334834,7108,2005-06-17,2005-12-30,196
18,3.7843685879500093,10722,2000-01-06,2005-12-31,2186
19,3.324675324675325,539,2002-07-03,2005-12-29,1275
20,3.146551724137931,116,2001-01-16,2005-12-22,1801
21,3.463302752293578,218,2003-10-28,2005-12-18,782
22,2.2463054187192117,203,2003-12-28,2005-12-20,723
23,3.55609756097561,615,2002-01-10,2005-12-30,1450
24,2.9939984996249063,1333,2002-07-20,2005-12-30,1259
25,3.9701739850869924,1207,2003-09-21,2005-12-31,832
26,2.7937212079849854,5861,2004-02-08,2005-12-31,692
27,3.5274725274725274,273,2004-07-23,2005-12-29,524
28,3.823254175890521,39752,2002-06-23,2005-12-31,1287
29,3.598470363288719,523,2001-07-02,2005-12-30,1642
30,3.7618420274800908,118413,2003-11-11,2005-12-31,781
31,3.0542986425339365,221,2000-02-12,2005-11-16,2104
32,4.071736785329018,1854,2005-02-12,2005-12-27,318
33,4.168650217706822,6890,2003-10-20,2005-12-31,803
34,2.712962962962963,108,2004-01-29,2005-12-20,691
35,3.1454112038140645,839,2003-01-16,2005-12-28,1077
36,3.020234291799787,939,2003-06-14,2005-12-28,928
37,3.9893238434163703,281,2004-07-30,2005-12-31,519
38,2.0511221945137157,802,2004-01-05,2005-12-27,722
39,2.4361702127659575,752,2002-08-08,2005-12-28,1238
40,2.920570264765784,491,2005-05-27,2005-12-29,216
41,1.6344086021505377,93,2001-04-21,2005-12-22,1706
42,2.328125,128,2003-09-02,2005-12-29,849
43,2.5714285714285716,105,2001-06-27,2005-12-13,1630
44,3.6840371720974003,8501,2000-01-06,2005-12-29,2184
45,2.9686903398243603,2619,1999-12-25,2005-12-28,2195
46,3.8064958828911255,6558,1999-12-20,2005-12-31,2203
47,3.266382978723404,2350,2001-11-14,2005-12-29,1506
48,3.7109440267335003,3591,2002-03-14,2005-12-31,1388
49,3.6666666666666665,231,2003-11-19,2005-12-28,770
50,3.027439024390244,328,2001-03-21,2005-12-28,1743
51,3.566666666666667,90,2003-01-15,2005-08-06,934
52,3.7571400816009324,5147,2003-08-06,2005-12-31,878
53,1.6754385964912282,114,2004-08-20,2005-11-07,444
54,2.9874213836477987,159,2004-04-09,2005-12-28,628
55,3.024522028262677,2406,1999-12-09,2005-12-31,2214
56,3.6486633933442443,1833,2004-02-09,2005-12-30,690
57,3.6785513756316677,3562,2000-03-08,2005-12-30,2123
58,3.6120080436656132,17405,2002-02-05,2005-12-29,1423
59,2.7892156862745097,204,2004-07-23,2005-12-22,517
60,2.1491525423728812,295,2002-05-27,2005-12-30,1313
61,2.9523809523809526,147,2000-02-18,2005-11-22,2104
62,3.6241379310344826,290,2003-06-13,2005-12-30,931
63,3.25,184,2004-05-14,2005-12-28,593
64,2.4210526315789473,95,2002-06-20,2005-12-18,1277
65,2.3294573643410854,258,2004-12-31,2005-12-26,360
66,2.2951807228915664,166,2001-12-29,2005-12-27,1459
67,2.557093425605536,289,2000-01-30,2005-12-14,2145
