Movie_ID,Avg_Rating,Watch_Count,Min_Date,Max_Date,Date_Diff,Year,Year_Diff,Quantile_1_Freq,Quantile_2_Freq,Quantile_3_Freq,Quantile_4_Freq,Quantile_5_Freq
1,3.749542961608775,547,2004-01-23,2005-12-30,707,2003,1,155.0,103.0,111.0,95.0,83.0
2,3.5586206896551724,145,2004-10-16,2005-12-20,430,2004,0,41.0,33.0,23.0,23.0,25.0
3,3.6411530815109354,2012,2003-02-11,2005-12-30,1053,1997,6,678.0,575.0,393.0,248.0,118.0
4,2.73943661971831,142,2003-12-06,2005-12-27,752,1994,9,40.0,24.0,24.0,30.0,24.0
5,3.9192982456140353,1140,2004-11-02,2005-12-29,422,2004,0,285.0,177.0,174.0,233.0,271.0
6,3.084396467124632,1019,2003-09-17,2005-12-29,834,1997,6,308.0,267.0,217.0,133.0,94.0
7,2.129032258064516,93,2000-09-09,2005-12-22,1930,1992,8,37.0,18.0,17.0,7.0,14.0
8,3.1898054996646548,14910,2004-09-13,2005-12-31,474,2004,0,3338.0,3724.0,3314.0,2769.0,1765.0
9,2.6210526315789475,95,2004-08-20,2005-12-13,480,1991,13,42.0,18.0,13.0,9.0,13.0
10,3.180722891566265,249,2002-11-23,2005-12-21,1124,2001,1,102.0,59.0,46.0,24.0,18.0
11,3.0303030303030303,198,2003-05-25,2005-12-23,943,1999,4,59.0,51.0,41.0,28.0,19.0
12,3.417582417582417,546,2000-01-14,2005-12-31,2178,1947,53,178.0,116.0,103.0,97.0,52.0
13,4.552,125,2005-03-11,2005-12-13,277,2003,2,16.0,22.0,26.0,30.0,31.0
14,3.0254237288135597,118,2003-11-11,2005-12-19,769,1982,21,41.0,29.0,12.0,18.0,18.0
15,3.286206896551724,290,2000-01-13,2005-12-22,2170,1988,12,99.0,57.0,61.0,40.0,33.0
16,3.0985550203779177,2699,2000-01-07,2005-12-31,2185,1996,4,889.0,609.0,491.0,366.0,344.0
17,2.90320765334834,7108,2005-06-17,2005-12-30,196,2005,0,1816.0,1506.0,1311.0,1285.0,1190.0
18,3.784368587950009,10722,2000-01-06,2005-12-31,2186,1994,6,2956.0,2746.0,2254.0,1750.0,1016.0
19,3.324675324675325,539,2002-07-03,2005-12-29,1275,2000,2,234.0,120.0,71.0,68.0,46.0
20,3.146551724137931,116,2001-01-16,2005-12-22,1801,1972,29,54.0,21.0,14.0,13.0,14.0
21,3.463302752293578,218,2003-10-28,2005-12-18,782,2002,1,94.0,47.0,34.0,24.0,19.0
22,2.246305418719212,203,2003-12-28,2005-12-20,723,2000,3,84.0,53.0,19.0,38.0,9.0
23,3.55609756097561,615,2002-01-10,2005-12-30,1450,2001,1,168.0,117.0,107.0,113.0,110.0
24,2.9939984996249063,1333,2002-07-20,2005-12-30,1259,1981,21,437.0,302.0,220.0,190.0,184.0
25,3.970173985086992,1207,2003-09-21,2005-12-31,832,1997,6,309.0,255.0,253.0,204.0,186.0
26,2.7937212079849854,5861,2004-02-08,2005-12-31,692,2004,0,1826.0,1303.0,1015.0,876.0,841.0
27,3.527472527472528,273,2004-07-23,2005-12-29,524,1962,42,77.0,49.0,35.0,51.0,61.0
28,3.823254175890521,39752,2002-06-23,2005-12-31,1287,2002,0,7934.0,8765.0,8386.0,7717.0,6950.0
29,3.598470363288719,523,2001-07-02,2005-12-30,1642,2001,0,189.0,103.0,92.0,73.0,66.0
30,3.7618420274800903,118413,2003-11-11,2005-12-31,781,2003,0,24502.0,27856.0,26219.0,22967.0,16869.0
31,3.0542986425339365,221,2000-02-12,2005-11-16,2104,1999,1,80.0,48.0,37.0,30.0,26.0
32,4.071736785329018,1854,2005-02-12,2005-12-27,318,2004,1,498.0,449.0,356.0,339.0,212.0
33,4.168650217706822,6890,2003-10-20,2005-12-31,803,2000,3,1302.0,1404.0,1358.0,1441.0,1385.0
34,2.712962962962963,108,2004-01-29,2005-12-20,691,2003,1,25.0,25.0,25.0,18.0,15.0
35,3.1454112038140645,839,2003-01-16,2005-12-28,1077,2000,3,203.0,128.0,164.0,138.0,206.0
36,3.020234291799787,939,2003-06-14,2005-12-28,928,1992,11,358.0,195.0,165.0,117.0,104.0
37,3.98932384341637,281,2004-07-30,2005-12-31,519,1973,31,88.0,59.0,50.0,45.0,39.0
38,2.051122194513716,802,2004-01-05,2005-12-27,722,2003,1,338.0,182.0,126.0,92.0,64.0
39,2.436170212765957,752,2002-08-08,2005-12-28,1238,2000,2,285.0,170.0,134.0,95.0,68.0
40,2.920570264765784,491,2005-05-27,2005-12-29,216,2004,1,168.0,114.0,89.0,57.0,63.0
41,1.6344086021505375,93,2001-04-21,2005-12-22,1706,2000,1,54.0,17.0,10.0,4.0,8.0
42,2.328125,128,2003-09-02,2005-12-29,849,2002,1,60.0,24.0,16.0,15.0,13.0
43,2.571428571428572,105,2001-06-27,2005-12-13,1630,2000,1,40.0,22.0,13.0,18.0,12.0
44,3.6840371720974,8501,2000-01-06,2005-12-29,2184,1996,4,2273.0,2070.0,1672.0,1477.0,1009.0
45,2.9686903398243603,2619,1999-12-25,2005-12-28,2195,1999,0,863.0,677.0,482.0,359.0,238.0
46,3.8064958828911255,6558,1999-12-20,2005-12-31,2203,1964,35,2062.0,1656.0,1304.0,927.0,609.0
