Movie_ID,Avg_Rating,Watch_Count,Min_Date,Max_Date,Date_Diff,Std_Dev,Year,Year_Diff,Quantile_1_Freq,Quantile_2_Freq,Quantile_3_Freq,Quantile_4_Freq,Quantile_5_Freq,CI_Lower_95,CI_Upper_95
1,3.749542961608775,547,2004-01-23,2005-12-30,707,1.0679199817573573,2003,1,96038,96222,95853,96040,96036,3.6600474776634293,3.839038445554121
2,3.5586206896551724,145,2004-10-16,2005-12-20,430,1.2795173898614487,2004,0,96038,96222,95853,96040,96036,3.3503547438355645,3.7668866354747803
3,3.6411530815109354,2012,2003-02-11,2005-12-30,1053,0.9773446924510336,1997,6,96038,96222,95853,96040,96036,3.598446988459575,3.6838591745622957
4,2.73943661971831,142,2003-12-06,2005-12-27,752,1.302913143334972,1994,9,96038,96222,95853,96040,96036,2.5251340571304857,2.9537391823061343
5,3.9192982456140353,1140,2004-11-02,2005-12-29,422,1.2924361023518398,2004,0,96038,96222,95853,96040,96036,3.8442720842832974,3.994324406944773
6,3.084396467124632,1019,2003-09-17,2005-12-29,834,1.2902619644715434,1997,6,96038,96222,95853,96040,96036,3.0051742715586327,3.163618662690631
7,2.129032258064516,93,2000-09-09,2005-12-22,1930,1.075677809080445,1992,8,96038,96222,95853,96040,96036,1.9104087763509798,2.347655739778052
8,3.1898054996646548,14910,2004-09-13,2005-12-31,474,1.3145366493375048,2004,0,96038,96222,95853,96040,96036,3.168705135613044,3.2109058637162655
9,2.6210526315789475,95,2004-08-20,2005-12-13,480,1.247797611866272,1991,13,96038,96222,95853,96040,96036,2.370130817417511,2.871974445740384
10,3.180722891566265,249,2002-11-23,2005-12-21,1124,1.133911780930748,2001,1,96038,96222,95853,96040,96036,3.039879762434147,3.3215660206983832
11,3.0303030303030303,198,2003-05-25,2005-12-23,943,1.103336384219264,1999,4,96038,96222,95853,96040,96036,2.8766180534051498,3.183988007200911
12,3.417582417582417,546,2000-01-14,2005-12-31,2178,1.058639605482336,1947,53,96038,96222,95853,96040,96036,3.3287834558994764,3.5063813792653575
13,4.552,125,2005-03-11,2005-12-13,277,0.6654612758661614,2003,2,96038,96222,95853,96040,96036,4.43533949470033,4.668660505299669
14,3.0254237288135597,118,2003-11-11,2005-12-19,769,1.1872676698091342,1982,21,96038,96222,95853,96040,96036,2.8112019064439546,3.2396455511831648
15,3.286206896551724,290,2000-01-13,2005-12-22,2170,1.163524099771088,1988,12,96038,96222,95853,96040,96036,3.1522909006051916,3.4201228924982563
16,3.0985550203779177,2699,2000-01-07,2005-12-31,2185,0.9869016826790922,1996,4,96038,96222,95853,96040,96036,3.0613219785239356,3.1357880622319
17,2.90320765334834,7108,2005-06-17,2005-12-30,196,1.012334710176909,2005,0,96038,96222,95853,96040,96036,2.879673071321565,2.926742235375115
18,3.784368587950009,10722,2000-01-06,2005-12-31,2186,0.9463482741552824,1994,6,96038,96222,95853,96040,96036,3.766455553366895,3.8022816225331226
19,3.324675324675325,539,2002-07-03,2005-12-29,1275,1.071931358235768,2000,2,96038,96222,95853,96040,96036,3.234179474442639,3.4151711749080107
20,3.146551724137931,116,2001-01-16,2005-12-22,1801,1.2318548075429048,1972,29,96038,96222,95853,96040,96036,2.9223770229676584,3.3707264253082037
21,3.463302752293578,218,2003-10-28,2005-12-18,782,1.002775921366111,2002,1,96038,96222,95853,96040,96036,3.3301863039718125,3.596419200615344
22,2.246305418719212,203,2003-12-28,2005-12-20,723,1.0892924605786374,2000,3,96038,96222,95853,96040,96036,2.096456866910855,2.3961539705275694
23,3.55609756097561,615,2002-01-10,2005-12-30,1450,1.1427541407918735,2001,1,96038,96222,95853,96040,96036,3.465780183809043,3.6464149381421764
24,2.9939984996249063,1333,2002-07-20,2005-12-30,1259,1.0618811527569032,1981,21,96038,96222,95853,96040,96036,2.9369929799355883,3.0510040193142243
25,3.970173985086992,1207,2003-09-21,2005-12-31,832,1.0265651656645236,1997,6,96038,96222,95853,96040,96036,3.912259265272774,4.02808870490121
26,2.7937212079849854,5861,2004-02-08,2005-12-31,692,1.0886953193483306,2004,0,96038,96222,95853,96040,96036,2.7658486667637834,2.8215937492061873
27,3.527472527472528,273,2004-07-23,2005-12-29,524,1.2248108438051892,1962,42,96038,96222,95853,96040,96036,3.382179835456015,3.6727652194890408
28,3.823254175890521,39752,2002-06-23,2005-12-31,1287,0.972259749318862,2002,0,96038,96222,95853,96040,96036,3.81369635503429,3.832811996746752
29,3.598470363288719,523,2001-07-02,2005-12-30,1642,1.1035286283132648,2001,0,96038,96222,95853,96040,96036,3.503892645235665,3.693048081341773
30,3.7618420274800903,118413,2003-11-11,2005-12-31,781,0.938740765448648,2003,0,96038,96222,95853,96040,96036,3.756495127538192,3.7671889274219885
31,3.0542986425339365,221,2000-02-12,2005-11-16,2104,1.3027042088907923,1999,1,96038,96222,95853,96040,96036,2.8825450812646527,3.22605220380322
32,4.071736785329018,1854,2005-02-12,2005-12-27,318,1.1665094095942876,2004,1,96038,96222,95853,96040,96036,4.0186374050088025,4.124836165649234
33,4.168650217706822,6890,2003-10-20,2005-12-31,803,1.1528570886431508,2000,3,96038,96222,95853,96040,96036,4.141428098296941,4.195872337116703
34,2.712962962962963,108,2004-01-29,2005-12-20,691,1.2682383537726352,2003,1,96038,96222,95853,96040,96036,2.473771829680198,2.9521540962457276
35,3.1454112038140645,839,2003-01-16,2005-12-28,1077,1.1280010796633042,2000,3,96038,96222,95853,96040,96036,3.0690830766694366,3.2217393309586924
36,3.020234291799787,939,2003-06-14,2005-12-28,928,1.106587923322153,1992,11,96038,96222,95853,96040,96036,2.9494545129298007,3.091014070669773
37,3.98932384341637,281,2004-07-30,2005-12-31,519,0.9764512487469412,1973,31,96038,96222,95853,96040,96036,3.8751534555254783,4.103494231307262
38,2.051122194513716,802,2004-01-05,2005-12-27,722,1.1530256512067485,2003,1,96038,96222,95853,96040,96036,1.9713212822161024,2.1309231068113297
39,2.436170212765957,752,2002-08-08,2005-12-28,1238,1.1358673488153803,2000,2,96038,96222,95853,96040,96036,2.3549854049888883,2.5173550205430257
40,2.920570264765784,491,2005-05-27,2005-12-29,216,1.0651264563477758,2004,1,96038,96222,95853,96040,96036,2.8263560359858793,3.014784493545689
41,1.6344086021505375,93,2001-04-21,2005-12-22,1706,0.7910497460936095,2000,1,96038,96222,95853,96040,96036,1.4736336486842807,1.7951835556167943
42,2.328125,128,2003-09-02,2005-12-29,849,0.9483460529893464,2002,1,96038,96222,95853,96040,96036,2.1638324283798354,2.4924175716201646
43,2.571428571428572,105,2001-06-27,2005-12-13,1630,1.2849509333429432,2000,1,96038,96222,95853,96040,96036,2.325647764349978,2.817209378507166
44,3.6840371720974,8501,2000-01-06,2005-12-29,2184,0.9697376142547144,1996,4,96038,96222,95853,96040,96036,3.6634225534731852,3.7046517907216145
45,2.9686903398243603,2619,1999-12-25,2005-12-28,2195,0.9633134122792836,1999,0,96038,96222,95853,96040,96036,2.9317963240440967,3.005584355604624
