Movie_ID,Avg_Rating,Watch_Count,Min_Date,Max_Date,Date_Diff,Std_Dev,Year,Year_Diff,Quantile_1_Freq,Quantile_2_Freq,Quantile_3_Freq,Quantile_4_Freq,Quantile_5_Freq,CI_Lower_95,CI_Upper_95,Movie_Title
14961,4.723269925683507,73335,2005-02-09,2005-12-31,325,0.6096697176681143,2003,2,96038,96222,95853,96040,96036,4.71885732073876,4.727682530628254,Lord of the Rings: The Return of the King: Extended Edition
7230,4.716610825093296,73422,2005-02-09,2005-12-31,325,0.618696913715596,2001,4,96038,96222,95853,96040,96036,4.712135537846824,4.721086112339768,The Lord of the Rings: The Fellowship of the Ring: Extended Edition
7057,4.702611063648014,74912,2005-02-09,2005-12-31,325,0.6289034957338437,2002,3,96038,96222,95853,96040,96036,4.698107416219572,4.707114711076456,Lord of the Rings: The Two Towers: Extended Edition
3456,4.670989101945096,7249,2004-12-15,2005-12-31,381,0.6825146870452168,2004,0,96038,96222,95853,96040,96036,4.65527719049316,4.686701013397033,Lost: Season 1
9864,4.638809387521466,1747,2005-02-03,2005-12-31,331,0.6765118081250848,2004,1,96038,96222,95853,96040,96036,4.607085602351124,4.670533172691807,Battlestar Galactica: Season 1
14550,4.593383932407275,139660,2002-01-16,2005-12-31,1445,0.6778314216110837,1994,8,96038,96222,95853,96040,96036,4.589828914852216,4.596938949962334,The Shawshank Redemption: Special Edition
15538,4.605021432945499,1633,2004-12-08,2005-12-30,387,0.765461071586189,2004,0,96038,96222,95853,96040,96036,4.567894755233995,4.642148110657002,Fullmetal Alchemist
2102,4.581295988606693,8426,2005-07-09,2005-12-31,175,0.7673463656284911,1994,11,96038,96222,95853,96040,96036,4.564911353100581,4.597680624112805,The Simpsons: Season 6
7833,4.582389367165081,6621,2004-12-19,2005-12-31,377,0.8748160445570361,2004,0,96038,96222,95853,96040,96036,4.56131711197651,4.603461622353652,Arrested Development: Season 2
12398,4.592084006462035,1238,2005-01-05,2005-12-31,360,0.8097038907364028,2004,1,96038,96222,95853,96040,96036,4.546979288126092,4.637188724797978,Veronica Mars: Season 1
14240,4.5451207887760265,134284,2001-06-22,2005-12-31,1653,0.8058639020446993,2003,-2,96038,96222,95853,96040,96036,4.540810507229978,4.549431070322076,Lord of the Rings: The Return of the King
5582,4.543700659673408,92470,2001-03-02,2005-12-31,1765,0.759436381951524,1980,21,96038,96222,95853,96040,96036,4.538805723408655,4.548595595938161,Star Wars: Episode V: The Empire Strikes Back
5103,4.542563034929447,17292,2004-11-24,2005-12-31,402,0.8067465226350209,1993,11,96038,96222,95853,96040,96036,4.530538437099546,4.554587632759349,The Simpsons: Season 5
