recommended_movie,recommended_bayesian_score,recommended_watch_count,avg_rating
The Lord of the Rings: The Fellowship of the Ring: Extended Edition,4.72,73422,4.72
Lord of the Rings: The Return of the King: Extended Edition,4.72,73335,4.72
Lord of the Rings: The Two Towers: Extended Edition,4.7,74912,4.7
Lost: Season 1,4.67,7249,4.67
Battlestar Galactica: Season 1,4.64,1747,4.64
Fullmetal Alchemist,4.6,1633,4.61
Veronica Mars: Season 1,4.59,1238,4.59
The Shawshank Redemption: Special Edition,4.59,139660,4.59
The Simpsons: Season 6,4.58,8426,4.58
Arrested Development: Season 2,4.58,6621,4.58
Ghost in the Shell: Stand Alone Complex: 2nd Gig,4.56,220,4.59
Lord of the Rings: The Return of the King,4.55,134284,4.55
Inu-Yasha,4.55,1883,4.55
Star Wars: Episode V: The Empire Strikes Back,4.54,92470,4.54
The Simpsons: Season 5,4.54,17292,4.54
Tenchi Muyo! Ryo Ohki,4.54,89,4.6
Trailer Park Boys: Season 3,4.54,75,4.6
The Sopranos: Season 5,4.53,21043,4.53
Family Guy: Vol. 2: Season 3,4.53,21385,4.53
Fruits Basket,4.53,681,4.54
The Simpsons: Season 4,4.52,18413,4.52
Unknown Movie,4.52,1592,4.52
Family Guy: Freakin' Sweet Collection,4.52,10027,4.52
Lord of the Rings: The Return of the King: Extended Edition: Bonus Material,4.52,125,4.55
Band of Brothers,4.51,37514,4.51
Gladiator: Extended Edition,4.51,9599,4.51
Star Wars: Episode IV: A New Hope,4.5,85184,4.5
The Godfather,4.5,106327,4.5
Seinfeld: Season 3,4.5,9258,4.5
Raiders of the Lost Ark,4.5,118212,4.5
